county_desc,race_code,DEM,GRE,LIB,NLB,REP,UNA
BUNCOMBE,U,1732.0,2.0,47.0,2.0,943.0,2866.0
BUNCOMBE,W,20307.0,32.0,461.0,45.0,13787.0,25802.0
BURKE,A,68.0,0.0,3.0,0.0,52.0,205.0
BURKE,B,800.0,0.0,4.0,1.0,29.0,216.0
BURKE,I,11.0,0.0,0.0,0.0,6.0,13.0
BURKE,M,11.0,0.0,0.0,0.0,11.0,19.0
BURKE,O,165.0,0.0,4.0,3.0,78.0,211.0
BURKE,P,1.0,0.0,0.0,0.0,0.0,0.0
BURKE,U,206.0,0.0,14.0,1.0,430.0,806.0
BURKE,W,3278.0,3.0,111.0,6.0,7839.0,5763.0
CABARRUS,A,351.0,0.0,9.0,1.0,178.0,535.0
CABARRUS,B,7229.0,8.0,47.0,16.0,332.0,3242.0
CABARRUS,I,44.0,0.0,1.0,0.0,23.0,72.0
CABARRUS,M,117.0,0.0,4.0,0.0,36.0,91.0
CABARRUS,O,876.0,5.0,29.0,19.0,380.0,1000.0
CABARRUS,P,1.0,0.0,0.0,0.0,2.0,2.0
CABARRUS,U,1159.0,3.0,35.0,1.0,1099.0,2715.0
CABARRUS,W,4877.0,14.0,354.0,31.0,16034.0,12528.0
CALDWELL,A,15.0,0.0,0.0,0.0,19.0,34.0
CALDWELL,B,596.0,0.0,8.0,0.0,48.0,150.0
CALDWELL,I,1.0,0.0,0.0,0.0,11.0,5.0
CALDWELL,M,17.0,0.0,0.0,0.0,10.0,20.0
CALDWELL,O,126.0,0.0,5.0,0.0,80.0,159.0
CALDWELL,U,186.0,0.0,14.0,3.0,511.0,515.0
CALDWELL,W,2172.0,0.0,106.0,5.0,7745.0,5302.0
CAMDEN,A,5.0,0.0,0.0,0.0,6.0,4.0
CAMDEN,B,224.0,0.0,1.0,1.0,7.0,106.0
CAMDEN,I,0.0,0.0,0.0,0.0,4.0,3.0
CAMDEN,M,1.0,0.0,0.0,0.0,0.0,2.0
CAMDEN,O,2.0,0.0,0.0,0.0,15.0,36.0
CAMDEN,U,16.0,0.0,1.0,0.0,55.0,42.0
CAMDEN,W,266.0,0.0,18.0,0.0,738.0,1098.0
CARTERET,A,14.0,0.0,0.0,1.0,33.0,49.0
CARTERET,B,685.0,0.0,2.0,1.0,48.0,213.0
CARTERET,I,3.0,0.0,0.0,0.0,10.0,16.0
